dma_name,geometry,pipe_size
DM-17-11-02-03,POINT (683134.7164001358 1499524.100799996),0.0
DM-17-11-02-02,POINT (683103.9860001318 1498993.561899996),300.0
DM-17-11-02-01,POINT (682922.7576001335 1497925.236499998),300.0
DM-17-11-01-02,POINT (682454.0794001312 1496071.908599998),
DM-17-11-01-01,POINT (680829.7531001265 1495072.936999999),400.0
DM-17-10-07-02,POINT (698390.8485002031 1496958.434799997),300.0
DM-17-10-07-01,POINT (698857.9135002051 1500459.280699995),300.0
DM-17-10-05-01,POINT (696565.576200194 1500936.945799998),300.0
DM-17-10-04-02,POINT (694837.366100184 1502212.016599996),300.0
DM-17-10-04-01,POINT (697633.2001001984 1500735.105699996),300.0
DM-17-09-07-03,POINT (693928.9139001798 1500625.124599997),300.0
DM-17-09-07-02,POINT (694165.3014001816 1501427.504599995),400.0
DM-17-09-07-01,POINT (694407.8375001833 1502238.039999995),300.0
DM-17-09-06-01,POINT (693899.2082001808 1500633.524299996),400.0
DM-17-09-05-01,POINT (693840.34530018 1502773.667799995),400.0
DM-17-09-03-01,POINT (693620.6459001785 1499643.992299997),400.0
DM-17-09-02-02,POINT (692292.2724001736 1503166.263199996),0.0
DM-17-09-01-02,POINT (691000.415600167 1503450.007799996),0.0
DM-17-09-01-01,POINT (692293.8046001729 1503195.096199997),300.0
DM-17-08-04-02,POINT (690190.4722001627 1503570.368899995),150.0
DM-17-08-04-01,POINT (687348.2505001503 1493841.044399997),300.0
DM-17-08-02-02,POINT (688322.9853001544 1503812.095099996),300.0
DM-17-08-02-01,POINT (684755.19560014 1504393.093099999),400.0
DM-17-08-01-02,POINT (686683.4860001459 1503936.782099995),0.0
DM-17-07-10-02,POINT (679251.9931001175 1496167.837199999),300.0
DM-17-07-10-01,POINT (680014.7076001214 1495251.487599997),400.0
DM-17-07-09-01,POINT (679725.8820001202 1500598.488599998),300.0
DM-17-07-08-02,POINT (678784.2595001182 1495522.570199998),300.0
DM-17-07-08-01,POINT (676074.7005001081 1496904.3089),300.0
DM-17-07-07-02,POINT (675441.0879001055 1497424.655799998),0.0
DM-17-07-07-01,POINT (674774.8036001055 1498821.544399996),200.0
DM-17-07-06-02,POINT (677492.4914001122 1501066.801699996),300.0
DM-17-07-04-02,POINT (674198.6091001026 1500027.206499996),300.0
DM-17-07-04-01,POINT (674028.3958001011 1500383.263399996),300.0
DM-17-07-03-02,POINT (673837.5050001018 1500781.431799997),300.0
DM-17-07-03-01,POINT (673724.7392000997 1501607.259899997),300.0
DM-17-07-02-01,POINT (675377.2249001057 1502066.943199998),300.0
DM-17-07-01-01,POINT (674397.9800001031 1502511.069999998),300.0
DM-17-06-07-01,POINT (672389.549600098 1505448.101799998),300.0
DM-17-06-06-01,POINT (675089.8702001048 1505417.361199996),
DM-17-06-05-01,POINT (672047.407900096 1506392.245699998),300.0
DM-17-06-04-03,POINT (674483.3411001035 1507925.876299997),300.0
DM-17-06-04-02,POINT (675241.7689001061 1505678.068299996),
DM-17-06-03-01,POINT (673830.9050001003 1508316.020099997),300.0
DM-17-06-02-01,POINT (673144.0971000983 1508854.225399998),300.0
DM-17-06-01-02,POINT (674365.5170001037 1506129.052999998),0.0
DM-17-06-01-01,POINT (674473.6426001056 1507931.237899997),300.0
DM-17-05-06-01,POINT (684743.0580001399 1504357.925399998),200.0
DM-17-05-05-01,POINT (682619.6177001335 1499993.013099996),300.0
DM-17-05-03-01,POINT (680006.4971001205 1505558.837599996),400.0
DM-17-05-02-01,POINT (683824.8684001368 1504586.283699999),300.0
DM-17-05-01-01,POINT (682461.3503001308 1504914.599699999),300.0
DM-17-04-06-02,POINT (674201.5679001012 1503648.657499998),300.0
DM-17-04-06-01,POINT (675141.5062001044 1505397.805999996),
DM-17-04-05-02,POINT (680645.0190001245 1505395.344399997),0.0
DM-17-04-05-01,POINT (679323.6266001179 1505100.703499998),300.0
DM-17-04-04-01,POINT (678704.2061001176 1505986.797899999),300.0
DM-17-04-03-02,POINT (678338.3228001161 1506117.670199997),300.0
DM-17-04-03-01,POINT (676867.4591001098 1506643.460499998),300.0
DM-17-04-02-02,POINT (675294.1491001061 1505635.234799997),
DM-17-04-02-01,POINT (676313.6921001101 1506942.219199999),300.0
DM-17-04-01-01,POINT (678344.0627001142 1506148.500499997),300.0
DM-17-03-06-01,POINT (668997.1069000872 1506930.408599999),200.0
DM-17-03-05-03,POINT (670576.9498000917 1508532.218799998),300.0
DM-17-03-05-02,POINT (669996.4355000898 1507837.664799996),300.0
DM-17-03-04-02,POINT (671488.6132000936 1509003.978299997),300.0
DM-17-03-04-01,POINT (670627.7227000912 1509175.785699999),0.0
DM-17-03-03-02,POINT (669655.1269000878 1509370.126699998),300.0
DM-17-03-03-01,POINT (668253.7540000876 1509651.051699997),300.0
DM-17-03-02-01,POINT (667575.5614000831 1509732.832899998),300.0
DM-17-03-01-02,POINT (666717.0664000822 1509816.459999999),300.0
DM-17-03-01-01,POINT (666966.9303000828 1510017.322599998),300.0
DM-17-02-02-01,POINT (680801.9459001233 1499743.911799997),400.0
DM-17-01-11-04,POINT (678192.3189001149 1495612.236099996),100.0
DM-17-01-11-03,POINT (681212.6860001273 1494949.384599998),300.0
DM-17-01-11-02,POINT (679073.7316001188 1495416.650199996),300.0
DM-17-01-11-01,POINT (677442.1481001133 1495845.449499998),300.0
DM-17-01-10-01,POINT (676223.211600109 1496748.650499996),300.0
DM-17-01-09-01,POINT (674621.7327001026 1499051.345899996),200.0
DM-17-01-08-03,POINT (673009.6083000979 1499732.290299997),0.0
DM-17-01-08-01,POINT (674618.3861001037 1499058.267399998),300.0
DM-17-01-07-02,POINT (672251.2674000978 1501193.622699997),300.0
DM-17-01-06-02,POINT (672018.6700000945 1499621.686799996),300.0
DM-17-01-06-01,POINT (672228.0662000992 1501191.906299997),300.0
DM-17-01-05-02,POINT (672312.9804000966 1501721.508199995),0.0
DM-17-01-05-01,POINT (673040.3843000988 1502461.503299996),0.0
DM-17-01-02-02,POINT (672617.4812000984 1502439.767799998),0.0
DM-17-01-02-01,POINT (672021.666600097 1506377.068599998),0.0
DM-16-07-09-01,POINT (677110.4851001101 1531879.413099997),300.0
DM-16-07-08-01,POINT (676304.8641001089 1532316.666699997),300.0
DM-16-07-07-01,POINT (674968.203200105 1533044.625199996),300.0
DM-16-07-06-02,POINT (674166.6951001021 1532807.433999997),300.0
DM-16-07-06-01,POINT (674490.505500102 1533302.179799997),300.0
DM-16-07-05-01,POINT (674156.1185001009 1532816.129799997),300.0
DM-16-07-04-02,POINT (672263.7439000985 1534018.847199997),300.0
DM-16-07-04-01,POINT (674112.5362001002 1533506.044099996),300.0
DM-16-07-03-02,POINT (671687.0997000951 1533067.376399996),300.0
DM-16-07-03-01,POINT (672418.092700095 1534470.577699998),300.0
DM-16-07-01-02,POINT (670671.7101000926 1533253.351499997),
DM-16-07-01-01,POINT (670663.7778000922 1533261.680199998),300.0
DM-16-06-05-01,POINT (678086.109200113 1534471.186099997),0.0
DM-16-06-04-01,POINT (677601.1293001123 1535260.089399998),300.0
DM-16-06-03-02,POINT (678069.2165001133 1534475.871799997),0.0
DM-16-06-03-01,POINT (677978.9232001144 1533156.301499998),300.0
DM-16-06-02-01,POINT (678225.9859001151 1531738.758999997),200.0
DM-16-05-04-01,POINT (676321.1588001098 1532351.547399997),300.0
DM-16-05-03-02,POINT (677243.7287001098 1535782.491799999),0.0
DM-16-05-03-01,POINT (674143.8883001014 1533534.998299995),300.0
DM-16-05-02-02,POINT (672999.4900000991 1535319.615999998),300.0
DM-16-05-02-01,POINT (673409.9498001002 1536041.426099998),100.0
DM-16-05-01-01,POINT (673042.4610000977 1534127.427599997),300.0
DM-16-04-04-01,POINT (673457.4872000987 1536127.524999997),150.0
DM-16-04-03-02,POINT (673958.9908001026 1537018.519699999),300.0
DM-16-04-02-02,POINT (677370.244900113 1536390.206599995),
DM-16-04-02-01,POINT (677385.0997001138 1536397.513799997),300.0
DM-16-04-01-02,POINT (675262.7312001063 1537884.115599997),200.0
DM-16-04-01-01,POINT (674008.5793001024 1537102.546499996),300.0
DM-16-03-05-02,POINT (680054.89390012 1537545.890199997),300.0
DM-16-03-05-01,POINT (681023.9865001234 1538465.904299998),300.0
DM-16-03-04-02,POINT (681003.2177001232 1538471.409099997),
DM-16-03-04-01,POINT (682189.4466001295 1539640.171799997),300.0
DM-16-03-02-02,POINT (678980.0927001158 1536047.644499998),300.0
DM-16-03-02-01,POINT (680033.3839001195 1537547.982299997),300.0
DM-16-03-01-02,POINT (681202.9908001274 1539676.849599996),
DM-16-03-01-01,POINT (680260.878700122 1539655.222499997),300.0
DM-16-02-05-02,POINT (678323.0745001159 1539664.819499996),
DM-16-02-05-01,POINT (677379.1273001116 1539697.327799998),0.0
DM-16-02-04-02,POINT (677396.903900112 1539717.029099999),0.0
DM-16-02-04-01,POINT (678301.1153001171 1539683.892599997),0.0
DM-16-02-03-02,POINT (676344.4226001082 1539394.768399999),0.0
DM-16-02-03-01,POINT (674823.4970001043 1538533.710799996),300.0
DM-16-02-02-02,POINT (676547.9354001086 1539795.657499998),300.0
