	8	4274.5
	9	3796.5
	10	4028.5
	11	3652
	12	3188
	13	3173.5
	14	3101
	15	2724.5
	16	3202.5
	17	3826
	18	4116
	19	4260
	20	4260
	21	4116
	22	4289
	23	3623
UZ1305	0	333
	1	174
	2	203
	3	217
	4	275
	5	217
	6	464
	7	855
	8	840
	9	985
	10	971
	11	884
	12	782
	13	710
	14	623
	15	623
	16	667
	17	652
	18	725
	19	696
	20	667
	21	782
	22	681
	23	551
UZ1302	0	687
	1	720
	2	617.5
	3	604
	4	613
	5	794
	6	1261
	7	2066
	8	2000
	9	1963
	10	1996
	11	1938
	12	1778
	13	1715
	14	1579
	15	1613
	16	1684
	17	1659
	18	1672
	19	1652
	20	1606
	21	1641
	22	1512
	23	1305
UZ1301	0	1002
	1	1033
	2	827
	3	828
	4	823.5
	5	1054
	6	1816
	7	2596
	8	2745
	9	2776
	10	2766
	11	2572
	12	2317
	13	2119
	14	2020
	15	1987
	16	2042
	17	2178
	18	2461
	19	2516
	20	2472
	21	2493
	22	2149
	23	1736
UZ1213	0	442
	1	426
	2	375
	3	350
	4	348
	5	416
	6	589.5
	7	769
	8	791
	9	748.5
	10	740
	11	702.5
	12	637
	13	593
	14	578.5
	15	566
	16	558
	17	654.5
	18	776
	19	672
	20	646
	21	641
	22	591
	23	480
UZ1110	0	3942
	1	3101
	2	2841
	3	2899
	4	2971
	5	3681
	6	4565.5
	7	6304.5
	8	6623.5
	9	6420.5
	10	6246.5
	11	5739
	12	5362
	13	4913
	14	4797.5
	15	4652.5
	16	4638
	17	4942
	18	5478
	19	5797
	20	5652
	21	5362
	22	4899
	23	4232
UZ1102	0	2362
	1	1710
	2	1696
	3	1696
	4	1667
	5	2116
	6	2478
	7	3000
	8	3072
	9	3072
	10	3043
	11	2724
	12	2724
	13	2695
	14	2681
	15	2666
	16	2666
	17	2652
	18	2927
	19	2985
	20	2956
	21	2985
	22	2985
	23	2710
UZ1101	0	5072
	1	3971
	2	3739
	3	3695.5
	4	3739
	5	5304
	6	6144
	7	8463
	8	8811
	9	8202
	10	7767
	11	6956
	12	6666
	13	6405
	14	6231
	15	5970
	16	5941
	17	6724
	18	7159
	19	7593
	20	7535
	21	6956
	22	6347
	23	5449
UZ0624	0	163
	1	159
	2	163
	3	181
	4	173
	5	183.5
	6	202
	7	233.5
	8	329
	9	327.5
	10	321.5
	11	273
	12	266.5
	13	268.5
	14	263
	15	258
	16	261
	17	265.5
	18	307.5
	19	289
	20	309
	21	288
	22	195
	23	184
UZ0613	0	1070
	1	1134
	2	1145
	3	1194
	4	1188
	5	1395.5
	6	1326
	7	1410
	8	2355
	9	2287
	10	2299
	11	1627
	12	1785
	13	1745
	14	1685
	15	1656
	16	1672
	17	1663
	18	2175
	19	2105
	20	2100
	21	2058
	22	1218
	23	1104
UZ0609	0	498.5
	1	484
	2	484
	3	491
	4	506
	5	535
	6	592
	7	722
	8	881
	9	881
	10	867
	11	722
	12	708
	13	708
	14	679
	15	650
	16	665
	17	708
	18	824
	19	809
	20	809
	21	809
	22	592
	23	564
UZ0608	0	768
	1	739
	2	753.5
	3	753.5
	4	754
	5	804.5
	6	920.5
	7	1021.5
	8	1435
	9	1420
	10	1420.5
	11	1144.5
	12	1123
	13	1108.5
	14	1101
	15	1108.5
	16	1094
	17	1246.5
	18	1333
	19	1304
	20	1311.5
	21	1289.5
	22	1072
	23	870
UZ0606	0	558
	1	548
	2	548
	3	535
	4	530
	5	552
	6	564
	7	669
	8	923.5
	9	916
	10	911
	11	774.5
	12	740
	13	708
	14	692
	15	702
	16	711.5
	17	793.5
	18	858.5
	19	869
	20	901.5
	21	869
	22	763
	23	666
UZ0601	0	1588
	1	1610
	2	1565.5
	3	1548
	4	1493
	5	1313.5
	6	1229.5
	7	1314
	8	2412
	9	2437.5
	10	2478.5
	11	1931
	12	1916
	13	1827.5
	14	1827
	15	1859
	16	1853.5
	17	2057.5
	18	2385
	19	2436
	20	2393
	21	2407
	22	2025
	23	1726
UZ0409	0	4752
	1	4524
	2	4414
	3	4408
	4	4429.5
	5	4879.5
	6	8045
	7	9455.5
	8	9710
	9	9407.5
	10	9126
	11	8467.5
	12	6948
	13	6835
	14	6657.5
	15	6537.5
	16	6719
	17	6921
	18	7200.5
	19	7202.5
	20	7275.5
	21	6654
	22	6428
	23	4958
UZ0301	0	1174
	1	1376
	2	1409
	3	1390
	4	1391.5
	5	1305
	6	1971
	7	2014.5
	8	2020
	9	1987
	10	1965
	11	1676.5
	12	1540
	13	1704
	14	1726
	15	1699.5
	16	1682.5
	17	1839
	18	1951
	19	1904
	20	1936
	21	1982
	22	2066
	23	1740
UZ0220	0	2811
	1	2469
	2	2437
	3	2385
	4	2407.5
	5	2509
	6	4113
	7	5433
	8	5471.5
	9	5291
	10	5221
	11	4916
	12	4755
	13	4465.5
	14	4376
	15	4258.5
	16	4361.5
	17	4756.5
	18	4987.5
	19	5015.5
	20	5048.5
	21	4962
	22	3891
	23	3270
UZ0218	0	6144
	1	6318
	2	6390.5
	3	6216.5
	4	6332.5
	5	6753
	6	7680.5
	7	9391
	8	9376
	9	9130
	10	9057.5
	11	8637
	12	8521
	13	7984.5
	14	7810.5
	15	7694.5
	16	7810.5
	17	8390.5
	18	8521
	19	8622.5
	20	8782
	21	8550
	22	7304
	23	6666
UZ0208	0	1248
	1	178
	2	187
	3	198.5
	4	199.5
	5	287
	6	875
	7	1407.5
	8	1336.5
	9	1333
	10	1365
	11	960.5
	12	977
	13	990.5
	14	1030.5
	15	1033
	16	1026
	17	976
	18	1335
	19	1368
	20	1403
	21	1444
	22	1512
	23	1454
UZ0204	0	1072
	1	696
	2	666.5
	3	681
	4	703
	5	1108.5
	6	1391.5
	7	1246
	8	1224.5
	9	1210
	10	1217
	11	1253.5
	12	1311.5
	13	1239
	14	1232
	15	1253.5
	16	1231.5
	17	1217
	18	1261
	19	1304
	20	1282.5
	21	1304
	22	1406
	23	1261
UZ0202	0	1311.5
