,BANGPLEE,LADKRABUNG,MAHASAWAT,MINBURI,PETKASEM,RATBURANA,SUMRONG
80,DM-17-11-05-01,DM-55-07-07-01,DM-54-05-03-01,DM-53-06-01-01,DM-11-10-15-03,DM-14-17-01-01,DM-17-01-08-03
81,DM-17-11-05-02,DM-55-07-07-02,DM-54-06-01-02,DM-53-06-01-02,DM-11-10-15-04,DM-14-17-01-02,DM-17-01-09-01
82,DM-17-11-06-01,DM-55-08-01-01,DM-54-07-01-01,DM-53-06-02-01,DM-11-10-16-02,DM-14-17-02-01,DM-17-03-01-01
83,DM-17-11-06-02,DM-55-08-01-02,DM-54-07-02-01,DM-53-06-03-01,DM-11-10-16-03,DM-14-17-02-02,DM-17-03-01-02
84,DM-55-06-01-01,DM-55-08-02-01,DM-54-07-03-01,DM-53-06-04-01,DM-11-10-16-04,DM-14-17-03-01,DM-17-03-02-01
85,DM-55-06-01-02,DM-55-08-02-02,DM-54-07-04-01,DM-53-06-05-01,DM-11-10-58-01,DM-14-17-03-02,DM-17-03-03-01
86,DM-55-06-02-01,DM-55-08-03-01,DM-54-07-05-01,DM-53-06-05-02,DM-11-10-58-02,DM-14-17-04-01,DM-17-03-03-03
87,DM-55-06-02-02,DM-55-09-01-02,DM-54-08-01-01,DM-53-06-06-01,DM-11-10-59-01,DM-14-17-04-02,DM-17-03-04-01
88,DM-55-06-03-01,DM-55-09-03-01,DM-54-08-02-01,DM-53-08-01-01,DM-11-10-60-01,DM-14-17-05-01,DM-17-03-04-02
89,DM-55-06-03-02,,DM-54-08-03-01,DM-53-08-01-02,DM-11-10-61-01,DM-14-17-06-01,DM-17-03-05-02
90,DM-55-06-03-03,,DM-54-08-04-01,DM-53-08-01-03,DM-11-10-62-01,DM-14-17-08-01,DM-17-03-05-03
91,DM-55-06-03-04,,DM-54-08-05-01,DM-53-09-02-04,DM-11-10-63-01,DM-14-18-01-01,DM-17-03-05-04
92,DM-55-06-04-01,,DM-54-08-06-01,DM-53-09-02-05,DM-11-10-64-01,DM-14-18-01-02,DM-17-03-06-01
93,DM-55-06-04-02,,DM-54-08-07-01,DM-53-09-03-01,DM-11-10-65-01,DM-14-18-02-01,DM-17-03-06-02
94,DM-55-06-05-01,,DM-54-08-08-01,DM-53-09-05-01,DM-11-10-65-02,DM-14-18-02-02,DM-17-03-07-01
95,DM-55-06-05-02,,DM-54-08-09-01,DM-55-01-01-01,DM-11-10-66-01,DM-14-18-02-03,DM-17-03-07-02
96,DM-55-06-05-03,,DM-54-09-01-01,DM-55-01-02-01,DM-11-10-66-02,DM-14-18-02-04,DM-17-04-02-01
97,DM-55-06-05-04,,DM-54-09-01-02,DM-55-01-03-01,DM-11-10-67-01,DM-14-18-03-01,DM-17-04-02-02
98,DM-55-06-06-01,,DM-54-09-02-01,DM-55-02-01-01,DM-11-10-67-03,DM-14-18-04-01,DM-17-04-06-01
99,DM-55-06-06-02,,DM-54-09-02-02,DM-55-02-02-01,DM-11-10-68-01,DM-14-18-04-02,DM-17-04-06-02
100,DM-55-06-06-04,,DM-54-09-03-01,DM-55-05-01-01,DM-11-10-68-02,DM-14-18-04-03,DM-17-06-01-01
101,DM-55-06-06-05,,DM-54-09-04-01,DM-55-05-02-02,DM-11-10-68-03,DM-14-18-05-01,DM-17-06-01-02
102,DM-55-07-02-01,,DM-54-09-05-01,,DM-11-10-68-04,DM-14-18-05-02,DM-17-06-02-01
103,DM-55-07-02-02,,DM-54-09-06-01,,DM-11-10-69-01,DM-14-18-06-01,DM-17-06-02-02
104,DM-55-07-04-01,,DM-54-09-07-01,,DM-11-10-69-02,,DM-17-06-03-01
