DM_inlet,BaseDemand
DM-02-03-02-02F,63.47026041739081
DM-02-03-03-01F,0.0
DM-02-03-03-02F,71.32781369297892
DM-02-03-04-01F,232.42881041178634
DM-02-03-05-01F,142.0152204982596
DM-02-03-06-01F,0.0
DM-02-04-01-02F,71.52780571680894
DM-02-04-01-03F,95.29815491352679
DM-02-04-02-02F,348.52908904177053
DM-02-04-03-01F,409.0081627021954
DM-02-04-04-01F,286.53387844473184
DM-02-04-04-02F,244.2746131524274
DM-02-04-05-01F,2.4977289056688883
DM-02-04-05-02F,183.1017941030092
DM-02-04-06-01F,215.8423067036558
DM-02-08-01-01F,139.53308753429965
DM-02-08-01-02F,158.56243645813524
DM-02-08-02-01F,258.79150252687356
DM-02-08-02-02F,281.30103043351704
DM-02-08-03-01F,317.1427763517762
DM-02-08-04-01F,53.361875119371724
DM-02-08-04-02F,146.995468280653
DM-02-08-04-03F,187.9111686081242
DM-02-12-01-01F,35.72976785031165
DM-02-12-01-02F,242.64691693838873
DM-02-12-01-03F,54.472519669767586
DM-02-12-01-04F,1025.6409360858468
DM-02-12-02-01F,141.7264315639278
DM-02-12-02-02F,86.94106635138434
DM-02-12-02-03F,515.3513805555556
DM-02-12-03-01F,165.7283293401116
DM-02-13-01-01F,308.159154682236
DM-02-13-01-02F,12.617805420613587
DM-02-13-02-01F,214.63548774877486
DM-02-13-02-02F,2.5417174579538595
DM-02-13-03-01F,142.21569815564402
DM-02-13-03-02F,157.99428848632158
DM-02-13-04-01F,165.8917829978083
DM-02-13-04-02F,96.70869340449794
DM-02-13-05-01F,219.01303426785466
DM-02-13-05-02F,129.27152493546666
DM-02-13-06-01F,128.149283107883
DM-02-13-06-02F,0.05683134729443191
DM-02-14-03-03F,267.71771242077705
DM-02-14-04-02F,55.07950273035641
DM-02-14-05-01F,0.31667085413541046
DM-02-14-05-02F,109.41338765850303
DM-02-14-05-03F,129.8148763485328
DM-02-14-06-01F,192.17567214277506
DM-02-14-07-01F,3.7653151852284545
DM-02-14-07-02F,273.70296673387094
DM-02-14-07-03F,0.07115220655501901
DM-02-14-08-01F,249.2046248176417
DM-02-14-09-01F,190.0540605553381
DM-02-15-01-01F,331.9764167338504
DM-02-15-02-01F,6.021048189182845
DM-02-15-03-01F,24.40022286731397
DM-02-15-04-01F,28.077591288192846
DM-02-15-04-02F,183.73985094653483
DM-02-15-05-02F,0.0
DM-02-16-01-01F,24.146365938603655
DM-02-16-02-01F,218.2260452197802
DM-02-16-02-02F,146.1969130267742
DM-02-16-03-01F,109.14574035314708
DM-02-16-03-02F,0.0
DM-02-16-04-01F,75.31676991088659
DM-02-16-05-01F,53.65494509676373
DM-02-16-06-02F,0.0
DM-02-16-07-01F,64.02257443572942
DM-02-16-07-02F,0.4101231963888113
DM-02-16-08-02F,202.09986340738786
DM-03-01-01-01F,157.33583510359225
DM-03-01-02-01F,93.0753219789205
DM-03-01-02-02F,19.743228861021652
DM-03-01-02-03F,0.0
DM-03-01-03-01F,293.7470176359266
DM-03-01-04-01F,236.73930063809624
DM-03-01-05-01F,133.55594661828204
DM-03-01-05-02F,19.425066158504915
DM-03-01-06-02F,76.5431089770359
DM-03-01-07-01F,166.04232322547114
DM-03-01-08-01F,224.6079162599534
DM-03-01-09-01F,142.6883228998656
DM-03-02-01-01F,171.69760169845122
DM-03-02-02-01F,19.55727403342737
DM-03-02-03-01F,423.112796541896
DM-03-02-04-01F,5.1860290039175725
DM-03-02-05-01F,365.1708968723044
DM-03-02-06-01F,0.0
DM-03-02-07-01F,362.7292047010967
DM-03-02-08-01F,111.24189559382059
DM-03-02-09-01F,241.67204416717263
DM-03-03-01-01F,89.46584185154451
DM-03-03-01-02F,64.7594700862578
DM-03-03-02-01F,259.40011082080946
DM-03-03-02-02F,154.6001479737903
DM-03-03-03-01F,135.68332706255862
DM-03-03-03-02F,192.91729603373184
DM-03-03-04-01F,0.0
DM-03-03-05-01F,148.3110277230009
DM-03-03-06-01F,114.02121862726396
DM-03-03-06-02F,47.502105600696346
DM-03-03-07-02F,109.50083360157616
DM-03-03-08-01F,120.00808697563822
DM-03-03-09-01F,152.4427550672043
DM-03-03-10-01F,110.19456664344055
DM-03-03-10-02F,61.736393966547176
DM-03-03-11-01F,159.70868690698939
