,BANGPLEE,LADKRABUNG,MAHASAWAT,MINBURI,PETKASEM,RATBURANA,SUMRONG,BK03,KLONGTAEY,PAHONYOTHIN,THAPRA,TONBURI,LADPRAW,LUMPINEE,BK04,SAMSEN
28,DM-17-07-06-01,DM-13-05-02-01,DM-01-07-03-04,DM-53-01-01-02,DM-11-07-04-05,DM-02-14-05-03,DM-13-05-07-01,DM-04-06-05-01,DM-07-04-03-01,DM-03-05-07-01,DM-02-02-05-01,DM-01-09-02-01,DM-03-06-07-01,DM-05-03-03-01,DM-12-05-01-01,DM-06-02-06-01
29,DM-17-07-06-02,DM-13-05-02-02,DM-01-07-04-01,DM-53-01-01-04,DM-11-07-05-01,DM-02-14-06-01,DM-13-05-07-02,DM-04-06-06-01,DM-07-04-08-01,DM-03-05-08-01,DM-02-02-05-02,DM-01-09-02-02,DM-03-06-08-01,DM-05-03-03-03,DM-12-05-02-01,DM-06-02-06-02
30,DM-17-07-07-02,DM-13-05-04-01,DM-01-07-04-02,DM-53-01-02-01,DM-11-07-06-01,DM-02-14-06-02,DM-13-06-01-01,DM-04-06-07-01,DM-07-04-10-01,DM-03-05-09-02,DM-02-02-06-01,DM-01-09-06-01,DM-03-06-08-02,DM-05-03-04-01,DM-12-05-03-01,DM-06-02-07-01
31,DM-17-07-08-01,DM-13-05-04-03,DM-01-07-04-03,DM-53-01-02-02,DM-11-07-06-02,DM-02-14-07-01,DM-13-06-01-02,DM-04-06-08-01,DM-07-04-11-03,DM-03-05-12-01,DM-02-02-06-02,,DM-03-06-09-01,DM-05-03-04-02,DM-12-05-04-01,DM-06-02-07-02
32,DM-17-07-08-02,DM-13-05-04-04,DM-01-07-04-04,DM-53-01-03-01,DM-11-07-07-01,DM-02-14-07-02,DM-13-06-04-01,DM-04-06-09-01,DM-07-04-12-01,,DM-02-02-07-01,,DM-03-06-10-01,DM-05-03-04-03,DM-12-05-05-01,DM-06-02-07-03
33,DM-17-07-09-01,DM-13-05-08-01,DM-01-07-04-05,DM-53-01-04-01,DM-11-07-08-01,DM-02-14-07-03,DM-13-06-04-02,DM-04-06-10-01,DM-07-04-13-01,,DM-02-02-07-03,,DM-03-06-12-01,DM-05-03-05-01,DM-12-05-05-02,DM-06-03-01-01
34,DM-17-07-09-02,DM-13-05-08-02,DM-01-07-04-06,DM-53-01-04-02,DM-11-07-09-01,DM-02-14-07-04,DM-13-06-04-03,DM-04-06-11-01,DM-07-04-13-02,,DM-02-02-08-01,,DM-03-06-13-01,DM-05-03-05-02,DM-12-05-06-02,DM-06-03-02-01
35,DM-17-07-09-03,DM-13-05-08-03,DM-01-08-01-01,DM-53-01-05-01,DM-11-07-10-01,DM-02-14-08-01,DM-13-07-01-01,DM-04-06-12-01,DM-07-04-14-01,,DM-02-03-01-01,,DM-03-06-13-02,DM-05-03-06-01,DM-12-05-08-01,DM-06-03-02-02
36,DM-17-07-09-04,DM-13-05-09-01,DM-01-08-01-02,DM-53-01-05-02,DM-11-07-11-01,DM-02-14-09-01,DM-13-07-01-02,DM-04-06-13-01,DM-07-04-15-01,,DM-02-03-02-01,,DM-06-06-11-01,DM-05-03-06-02,DM-12-05-08-02,DM-06-03-03-01
37,DM-17-07-10-01,DM-13-05-09-02,DM-01-08-01-03,DM-53-01-05-03,DM-11-07-47-01,DM-02-16-04-01,DM-13-07-01-03,DM-04-06-14-01,DM-07-04-16-01,,DM-02-03-02-02,,DM-06-06-11-02,DM-05-04-01-01,DM-12-05-10-01,DM-06-03-03-02
38,DM-17-07-10-02,DM-13-05-10-01,DM-01-08-02-01,DM-53-01-05-04,DM-11-07-47-02,DM-02-16-06-01,DM-13-07-02-01,DM-04-08-01-01,DM-07-04-16-02,,DM-02-03-03-01,,DM-07-01-05-02,DM-05-04-02-01,DM-12-06-01-01,DM-06-03-03-03
39,DM-17-07-10-03,DM-13-05-11-01,DM-11-03-09-01,DM-53-01-05-05,DM-11-07-50-01,DM-02-16-06-02,DM-13-07-03-01,DM-04-08-01-02,DM-07-04-16-04,,DM-02-03-03-02,,DM-07-04-01-01,DM-05-04-02-02,DM-12-06-01-02,DM-06-03-04-01
40,DM-17-08-01-02,DM-13-05-12-01,DM-11-03-09-02,DM-53-01-06-01,DM-11-07-51-01,DM-02-16-07-01,DM-13-07-03-02,DM-04-08-02-01,DM-07-04-16-05,,DM-02-03-04-01,,DM-07-04-02-01,DM-05-04-03-01,DM-12-06-02-01,DM-06-03-04-02
41,DM-17-08-02-01,DM-13-06-02-01,DM-11-03-32-01,DM-53-01-06-02,DM-11-07-52-01,DM-02-16-07-02,DM-13-07-04-01,DM-04-08-03-01,DM-07-04-18-01,,DM-02-03-05-01,,DM-07-04-02-02,DM-05-04-03-02,DM-12-06-02-02,DM-06-03-05-01
42,DM-17-08-02-02,DM-13-06-02-02,DM-11-03-34-02,DM-53-02-01-01,DM-11-07-53-05,DM-02-16-08-01,DM-13-07-04-02,DM-04-08-04-01,DM-07-05-01-01,,DM-02-03-06-01,,DM-07-04-03-02,DM-05-04-04-01,DM-12-07-01-01,DM-06-03-06-02
43,DM-17-08-02-03,DM-13-06-02-03,DM-11-05-01-01,DM-53-02-02-01,DM-11-07-54-01,DM-02-16-08-02,DM-13-07-04-03,DM-04-08-05-01,DM-07-05-02-01,,DM-02-03-06-02,,DM-07-04-03-03,DM-05-04-05-01,DM-12-07-03-01,DM-06-03-07-01
44,DM-17-08-03-01,DM-55-02-03-01,DM-11-05-04-01,DM-53-02-03-03,DM-11-07-54-02,DM-11-06-09-02,DM-13-07-05-01,DM-04-08-06-01,DM-07-05-02-02,,DM-02-03-06-03,,DM-07-04-04-01,DM-05-04-06-01,DM-12-07-03-02,DM-06-03-08-01
45,DM-17-08-03-02,DM-55-03-01-01,DM-11-05-26-01,DM-53-02-04-01,DM-11-07-55-01,DM-11-06-09-03,DM-13-07-05-02,DM-04-08-06-02,DM-07-05-03-01,,DM-02-12-01-01,,DM-07-04-04-02,DM-05-04-06-02,DM-12-07-03-03,DM-06-03-08-03
46,DM-17-08-04-01,DM-55-03-01-02,DM-11-05-29-01,DM-53-02-04-02,DM-11-07-56-01,DM-14-05-01-02,DM-13-07-06-01,DM-04-08-06-03,DM-07-05-04-01,,DM-02-12-01-02,,DM-07-04-05-01,DM-05-04-06-03,DM-15-06-03-01,DM-06-04-01-01
47,DM-17-08-04-02,DM-55-03-02-01,DM-11-05-30-01,DM-53-02-04-03,DM-11-07-57-01,DM-14-05-02-01,DM-13-07-06-02,DM-04-08-07-01,DM-07-05-04-02,,DM-02-12-01-03,,DM-07-04-06-01,DM-05-04-06-04,DM-15-07-01-01,DM-06-04-01-02
48,DM-17-08-04-03,DM-55-03-03-01,DM-11-06-02-02,DM-53-02-05-01,DM-11-07-57-02,DM-14-05-03-01,DM-13-07-06-03,DM-04-08-08-01,DM-07-05-04-03,,DM-02-12-01-04,,DM-07-04-07-01,DM-05-04-07-01,DM-15-07-01-02,DM-06-04-01-03
49,DM-17-08-04-04,DM-55-03-04-01,DM-11-06-03-01,DM-53-02-05-02,DM-11-08-01-01,DM-14-05-05-01,DM-13-07-07-01,DM-04-08-09-01,DM-07-05-06-02,,DM-02-12-02-01,,DM-07-04-09-01,DM-05-04-07-02,DM-15-07-04-01,DM-06-04-01-04
50,DM-17-08-04-05,DM-55-04-01-01,DM-11-06-18-01,DM-53-02-06-01,DM-11-08-02-01,DM-14-05-06-01,DM-13-07-07-02,DM-04-08-10-01,DM-07-05-07-01,,DM-02-12-02-02,,DM-07-04-11-01,DM-05-04-08-01,DM-15-07-05-01,DM-06-04-02-01
51,DM-17-09-01-01,DM-55-04-01-03,DM-11-06-18-02,DM-53-02-06-02,DM-11-08-03-01,DM-14-05-06-02,DM-13-07-07-04,DM-04-09-01-01,DM-07-05-08-01,,DM-02-12-02-03,,DM-07-04-19-01,DM-05-04-08-02,DM-15-08-01-01,DM-06-04-02-03
52,DM-17-09-01-02,DM-55-04-01-04,DM-11-06-24-01,DM-53-03-01-01,DM-11-08-05-01,DM-14-05-07-01,DM-13-07-07-05,DM-04-09-02-01,DM-07-05-09-01,,DM-02-12-03-02,,DM-07-04-20-01,DM-05-04-09-01,DM-15-08-06-01,DM-06-04-04-02
53,DM-17-09-02-02,DM-55-04-02-01,DM-54-01-05-01,DM-53-03-01-02,DM-11-08-07-01,DM-14-06-01-01,DM-13-07-07-06,DM-04-09-03-01,DM-07-05-09-02,,DM-02-13-01-01,,DM-07-04-21-01,DM-05-04-10-01,DM-15-08-06-03,DM-06-04-04-03
54,DM-17-09-03-01,DM-55-04-02-04,DM-54-01-05-02,DM-53-03-01-03,DM-11-08-08-02,DM-14-06-01-02,DM-14-07-02-01,DM-04-09-04-01,DM-07-05-10-01,,DM-02-13-01-02,,DM-07-04-22-01,DM-05-04-10-02,DM-15-09-02-01,DM-06-04-04-04
55,DM-17-09-04-01,DM-55-04-02-05,DM-54-01-06-01,DM-53-03-02-01,DM-11-08-09-02,DM-14-06-02-02,DM-14-07-02-02,DM-04-09-05-01,DM-07-05-10-02,,DM-02-13-02-01,,DM-07-04-22-02,DM-05-04-10-03,DM-15-09-02-02,DM-06-04-05-01
56,DM-17-09-05-01,DM-55-04-03-01,DM-54-02-03-01,DM-53-03-03-01,DM-11-08-09-03,DM-14-06-03-01,DM-14-07-03-01,DM-04-09-06-01,DM-07-05-10-03,,DM-02-13-02-02,,DM-07-04-23-01,DM-05-04-10-04,DM-15-09-03-01,DM-06-04-05-02
57,DM-17-09-06-01,DM-55-04-03-03,DM-54-02-04-01,DM-53-03-03-02,DM-11-08-10-02,DM-14-06-04-01,DM-14-07-03-02,DM-04-09-07-01,DM-07-05-11-01,,DM-02-13-03-01,,DM-07-07-02-03,DM-05-04-11-01,DM-15-09-04-01,DM-06-04-05-03
58,DM-17-09-07-01,DM-55-04-03-04,DM-54-02-04-02,DM-53-03-04-01,DM-11-08-13-02,DM-14-06-04-02,DM-14-07-03-03,DM-04-09-08-01,DM-07-05-11-02,,DM-02-13-03-02,,DM-07-07-08-01,DM-05-05-01-01,DM-15-09-05-01,DM-06-04-05-04
59,DM-17-09-07-02,DM-55-04-03-05,DM-54-02-04-03,DM-53-03-04-02,DM-11-08-16-01,DM-14-06-04-03,DM-14-07-03-04,DM-04-09-09-01,DM-07-05-11-03,,DM-02-13-03-03,,DM-12-02-06-02,DM-05-05-02-01,DM-15-09-05-02,DM-06-05-01-01
60,DM-17-09-07-03,DM-55-04-04-01,DM-54-02-05-01,DM-53-04-01-01,DM-11-08-20-01,DM-14-06-04-04,DM-14-07-05-01,DM-04-09-10-01,DM-07-05-11-04,,DM-02-13-04-01,,DM-12-02-07-02,DM-05-05-02-02,DM-15-09-05-03,DM-06-05-01-02
61,DM-17-10-04-01,DM-55-04-04-02,DM-54-02-05-02,DM-53-04-01-02,DM-11-08-21-01,DM-14-06-05-01,DM-14-11-01-01,DM-04-09-11-01,DM-07-05-12-01,,DM-02-13-04-02,,DM-12-02-08-01,DM-05-05-02-03,DM-15-09-06-01,DM-06-05-01-03
62,DM-17-10-04-02,DM-55-04-05-01,DM-54-03-01-01,DM-53-04-01-03,DM-11-08-22-01,DM-14-06-06-01,DM-14-11-01-02,DM-04-09-12-01,DM-07-05-12-02,,DM-02-13-05-01,,DM-12-02-08-02,DM-05-05-03-01,DM-15-09-07-01,DM-06-05-02-01
63,DM-17-10-05-01,DM-55-05-01-02,DM-54-03-01-02,DM-53-04-02-01,DM-11-08-23-01,DM-14-06-06-02,DM-14-11-02-01,DM-04-09-13-01,DM-07-05-12-03,,DM-02-13-05-02,,DM-12-03-01-01,DM-05-05-04-01,DM-16-02-01-01,DM-06-05-02-02
64,DM-17-10-06-01,DM-55-05-02-01,DM-54-03-01-03,DM-53-04-02-02,DM-11-10-01-01,DM-14-07-01-01,DM-14-11-02-02,DM-04-09-14-01,DM-07-05-13-01,,DM-02-13-06-01,,DM-12-03-01-02,DM-05-05-04-02,DM-16-02-01-02,DM-06-05-03-01
65,DM-17-10-07-01,DM-55-05-03-01,DM-54-03-02-01,DM-53-04-02-03,DM-11-10-02-01,DM-14-07-01-02,DM-14-11-03-01,DM-04-09-15-01,DM-07-05-13-02,,DM-02-13-06-02,,DM-12-03-02-01,DM-05-05-05-01,DM-16-02-02-01,DM-06-05-03-02
66,DM-17-10-07-02,DM-55-05-03-02,DM-54-03-02-02,DM-53-05-01-03,DM-11-10-04-01,DM-14-07-01-03,DM-14-11-06-01,DM-15-04-03-01,DM-07-05-13-03,,DM-02-15-01-01,,DM-12-03-02-02,DM-05-05-06-01,DM-16-02-02-02,DM-06-05-03-03
67,DM-17-11-01-02,DM-55-05-04-01,DM-54-04-01-01,DM-53-05-01-04,DM-11-10-05-01,DM-14-07-04-01,DM-14-11-06-03,DM-15-04-04-01,DM-07-05-14-01,,DM-02-15-02-01,,DM-12-03-03-01,DM-05-05-07-01,DM-16-02-03-01,DM-06-05-04-01
