,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DM-01-06-02-02P,1.4924668232305331,1.446688492063492,1.602796111111111,1.6920166666666667,2.586239365079365,5.864695992063491,6.510137777777778,6.445831468253968,5.936729126984127,5.458142222222223,5.268633531746032,4.9608067460317455,4.809305595238095,4.80344003968254,4.905109007936508,5.012709007936508,5.31809511904762,6.146211626984127,6.43947138888889,6.50121384920635,6.3594358333333325,5.711741666666667,4.235796507936508,2.874028095238096
DM-01-06-02-04P,0.0035047796289731,0.0051425396825396,0.0061869047619047,0.0068865079365079,0.0064177777777777,0.0054944444444444,0.0040799999999999,0.0017422222222222,0.0005155555555555,0.0001888888888888,0.0003138888888888,0.0003083333333333,0.0006766666666666,0.0022702777777777,0.0050894444444444,0.0085301515151514,0.0098272222222221,0.008751111111111,0.0072527777777777,0.005281111111111,0.003051111111111,0.0016448484848484,0.0014814682539682,0.0015177777777777
DM-01-06-02-05P,0.9310016129032254,0.56938,0.7039775,0.8137549999999999,1.3419575,3.7973825,5.326364999999999,4.532430000000001,4.280967499999999,4.173922500000001,4.058319999999999,3.821455,3.8231474999999984,4.016027500000001,4.059002500000003,4.3230425000000015,4.682797499999999,4.952522500000001,5.131969999999996,5.147732500000002,4.974990000000002,4.6868775000000005,3.421987500000001,2.1827224999999992
DM-01-06-03-01P,2.4654521254283344,2.349310317460317,2.4011228174603176,2.3949423015873013,2.638456706349206,3.523915,3.677162777777777,3.6573877777777777,3.511678333333333,3.471767777777778,3.371725,3.247755555555556,3.223321666666666,3.2043616666666663,3.3139016666666663,3.382442222222222,3.3290955555555555,3.5600883333333337,3.915995555555556,3.983383888888888,3.952723333333333,3.993395555555556,3.7856416666666655,3.4518849999999994
DM-01-06-03-02P,2.7064516601677897,2.6506432387057384,2.7904266666666664,2.8755788492063483,3.916003968253969,7.043356904761904,7.893065952380951,7.913177222222222,7.520968333333332,7.266678690476189,7.104266111111111,6.843489444444445,6.612718888888891,6.539449444444443,6.63057607142857,6.742175,7.092723888888889,7.797791111111112,8.036755,8.130459007936508,8.020603373015872,7.385913077200576,5.835550992063491,4.204896706349206
DM-01-06-04-01P,2.628617866004962,2.451475357142857,2.5647852777777778,2.5616386904761907,2.8195897222222217,3.912159206349207,3.971311031746032,3.8050733333333335,3.5416105555555557,3.496609444444444,3.4501238888888888,3.3231844444444447,3.301425,3.3206811111111114,3.4384972222222223,3.4606444444444437,3.468049444444445,3.712125555555555,4.074510992063491,4.220394444444443,4.200174642857143,4.312194642857143,4.173153888888889,3.780828888888888
DM-01-06-04-02P,3.1726716722793333,3.074589841269842,3.192185265567765,3.268747777777777,4.806862857142858,8.505020714285713,10.03975055555556,10.419816666666666,10.270703888888892,10.060074444444446,9.791787777777776,9.327435,8.788273333333333,8.524936666666667,8.631050912698413,8.96678388888889,9.600009444444446,10.479338333333336,10.752843888888888,10.879077222222223,10.673014444444444,9.639007777777778,7.4613846825396815,5.009861587301587
DM-01-06-05-01P,2.4444769452321866,2.262015515873016,2.331198055555556,2.3488772619047618,2.5959366666666672,3.775120436507936,4.051786388888889,4.037786626984128,3.849011111111112,3.7879561111111113,3.6574966666666655,3.453009444444445,3.393999444444445,3.395128888888889,3.504690555555555,3.5417177777777784,3.583066547619047,3.895853333333332,4.305105,4.408158333333334,4.361251547619047,4.371776666666667,4.0889783333333325,3.603319801587302
DM-01-06-05-03P,2.825855042538107,2.6826363492063487,2.7473334126984126,2.764670396825397,3.056787222222222,4.241080952380952,4.532618373015874,4.552015555555556,4.3862378968253966,4.337361111111111,4.186281111111112,3.964899444444444,3.893860555555555,3.894133888888888,3.995913888888889,4.028996666666668,4.076922380952381,4.418644365079365,4.833301666666666,4.918110555555556,4.877452222222223,4.863560000000001,4.55273,4.031943333333333
DM-01-06-05-04P,2.9853330083894605,2.823383467643468,2.892527142857143,2.9125801587301585,3.1792705158730152,4.35932111111111,4.64683111111111,4.627330476190476,4.43803700854701,4.386271175213675,4.255535470085471,4.034759126984128,3.97157875,3.97228,4.0715988888888885,4.106603333333332,4.141669444444443,4.465583931623931,4.875888452380952,4.992036111111113,4.959879166666666,4.981999087301587,4.69488382936508,4.202506666666667
DM-01-07-01-01P,2.395680429516719,2.3166876068376068,2.433784761904762,2.507411446886447,4.164060793650793,7.99650869047619,9.670965416666666,10.204915238095236,10.098888333333331,10.007359285714283,9.70156277777778,9.220230000000004,8.638873333333331,8.384443333333335,8.407478452380952,8.534597222222224,9.192679444444444,10.09482388888889,10.399326367521368,10.487380000000002,10.276481666666664,9.158300972222223,6.838802222222222,4.271794880952381
